ride_id,booking_date,pickup_time,city,driver_id,rider_id,vehicle_type,distance_km,fare_amount,payment_method,ride_status,driver_rating,rider_rating,surge_multiplier,promo_code_used,trip_duration_mins
RD011500,2024-09-15,14:36,Ho Chi Minh,,RDR03689,Premium ,7.09,16.91,Wallet,Cancelled,4.0,3.2,1.8,Yes,33.3
RD006476,03-Jan-2024,16:03:02,,DRV0241,RDR02669,Economy,2.91,7.56,Credit Card,No-show,2.8,3.8,1.0,yes,20.6
RD013168,2024-06-23,22:21:53,singapore,DRV0353,RDR02966,economy,9.96,21.94,eWallet,completed,5.0,4.0,1.0,No,38.5
RD000863,2024-05-21,18:01,Bangkok,DRV0689,RDR02579,Eco,2.23,4.32,Cash,Completed,4.8,3.0,2.5,No,10.4
RD005971,2024-08-13,18:58:58,BKK,DRV0465,RDR00657,Eco,4.94,11.3,,Completed,0.0,3.8,1.0,No,31.9
RD006707,2024/12/03,10:39:24,singapore,DRV0054,RDR01495,ECONOMY,1.9,5.29,Cash,Completed,4.0,5.4,1.0,No,8.4
RD003018,2024-11-27,16:58:00,MANILA,DRV0751,RDR04813,Economy,3.96,7.84,,Completed,2.9,3.8,1.0,No,17.9
RD003782,2024-07-15,20:48:52,,DRV0307,RDR00490,Premium,1.86,6.28,Cash,Completed,4.7,5.1,1.0,no,7.9
RD003899,2024-04-26,12:25:24,Singapore,DRV0086,RDR00237,economy ,3.57,8.5,Cash,Completed,5.0,5.0,1.0,No,12.1
RD002251,11/01/2024,20:06,kuala lumpur,DRV0272,RDR00610,economy ,4.98,10.55,Cash,Canceled,,3.7,1.5,No,32.4
RD000543,09-Oct-2024,19:40,,DRV0245,RDR04657,ECONOMY,4.64,6.54,E-Wallet,Completed,4.1,1.7,1.8,No,26.3
RD004352,2024-01-09,06:24,Bankok,DRV0325,RDR03795,Economy,10.23,17.58,Card,Completed,4.7,4.7,1.0,No,49.4
RD012808,2024-03-14,12:15 PM,Ho Chi Minh City,DRV0591,RDR02324,PREMIUM,11.53,,Card,No-show,4.9,4.8,1.2,No,34.6
RD006632,2024-08-09,11:12:02,Kuala lumpur,DRV0105,RDR03288,bike,1.75,4.23,cash,Completed,4.1,3.7,1.5,Yes,12.3
RD006706,2024-05-26,11:42:21,BKK,DRV0370,RDR04393,Economy,6.32,12.62,Card,No-show,5.3,2.4,1.0,No,39.5
RD006979,2024-05-08,13:10:01,bangkok,DRV0365,RDR04768,economy ,14.23,28.77,eWallet,Completed,4.3,5.0,1.0,No,87.9
RD007400,2024-06-05,18:25:19,Jakarta ,DRV0299,RDR01115,Prem,,7.99,,Cancelled,4.9,4.7,1.0,Yes,12.4
RD011120,22-Apr-2024,18:41,Jakarta,DRV0474,RDR04361,Eco,3.16,7.81,CASH,Cancelled,3.7,4.2,1.0,No,20.5
RD012666,2024-08-16,11:35,Kuala Lumpur,DRV0152,RDR01770,Premium,9.86,19.68,CASH,Completed,4.8,4.9,2.5,Yes,57.1
