ride_id,booking_date,pickup_time,city,driver_id,rider_id,vehicle_type,distance_km,fare_amount,payment_method,ride_status,driver_rating,rider_rating,surge_multiplier,promo_code_used,trip_duration_mins
RD013168,2024-06-23,22:21:53,singapore,DRV0353,RDR02966,economy,9.96,21.94,e-wallet,completed,5.0,4.0,1.0,no,38.5
RD000863,2024-05-21,18:01,bangkok,DRV0689,RDR02579,economy,2.23,4.32,cash,completed,4.8,3.0,2.5,no,10.4
RD006707,2024/12/03,10:39:24,singapore,DRV0054,RDR01495,economy,1.9,5.29,cash,completed,4.0,5.4,1.0,no,8.4
RD003899,2024-04-26,12:25:24,singapore,DRV0086,RDR00237,economy,3.57,8.5,cash,completed,5.0,5.0,1.0,no,12.1
RD002251,11/01/2024,20:06,kuala lumpur,DRV0272,RDR00610,economy,4.98,10.55,cash,cancelled,4.327260710675685,3.7,1.5,no,32.4
RD004352,2024-01-09,06:24,bangkok,DRV0325,RDR03795,economy,10.23,17.58,card,completed,4.7,4.7,1.0,no,49.4
RD006632,2024-08-09,11:12:02,kuala lumpur,DRV0105,RDR03288,bike,1.75,4.23,cash,completed,4.1,3.7,1.5,yes,12.3
RD006706,2024-05-26,11:42:21,bangkok,DRV0370,RDR04393,economy,6.32,12.62,card,no-show,5.3,2.4,1.0,no,39.5
RD006979,2024-05-08,13:10:01,bangkok,DRV0365,RDR04768,economy,14.23,28.77,e-wallet,completed,4.3,5.0,1.0,no,87.9
RD011120,22-Apr-2024,18:41,jakarta,DRV0474,RDR04361,economy,3.16,7.81,cash,cancelled,3.7,4.2,1.0,no,20.5
RD012666,2024-08-16,11:35,kuala lumpur,DRV0152,RDR01770,premium,9.86,19.68,cash,completed,4.8,4.9,2.5,yes,57.1
RD005305,2024-01-12,16:33,singapore,DRV0603,RDR03337,premium,4.11,9.71,debit card,completed,1.9,5.2,1.0,no,23.3
RD002313,12/11/2024,06:33:06,ho chi minh city,DRV0592,RDR02122,premium,8.37,17.13,e-wallet,completed,5.4,5.0,2.5,no,41.0
RD007041,2024-08-17,19:04,manila,DRV0715,RDR01334,premium,3.97,7.01,e-wallet,completed,2.7,4.1,1.0,no,23.3
RD001890,17/01/2024,21:27,jakarta,DRV0141,RDR03349,economy,6.11,11.25,e-wallet,cancelled,5.4,4.1,1.0,no,35.6
RD001796,2024-11-28,11:26:27,ho chi minh city,DRV0757,RDR04361,economy,7.85,17.47,cash,completed,4.327260710675685,4.9,1.2,no,27.7
RD003976,06/05/2024,17:13:17,kuala lumpur,DRV0377,RDR00733,economy,1.69,3.74,credit card,completed,4.8,4.9,1.2,no,10.4
RD006821,06-05-2024,12:40 PM,jakarta,DRV0785,RDR00689,premium,9.61,18.51,e-wallet,completed,5.2,4.3,1.8,no,32.4
RD007827,01-06-2024,22:07:39,manila,DRV0056,RDR04186,economy,12.34,21.47,wallet,completed,5.0,1.9,1.8,yes,78.9
RD011810,12/02/2024,20:44:50,manila,DRV0751,RDR03088,economy,2.67,5.57,cash,completed,4.2,4.2,1.0,no,16.3
RD001040,2024-02-26,16:22:46,kuala lumpur,DRV0083,RDR02558,economy,7.31,13.63,credit card,completed,2.9,3.2,1.2,no,28.2
RD002849,23/10/2024,08:59,jakarta,DRV0773,RDR02856,economy,3.27,8.35,e-wallet,no-show,5.1,3.8,1.2,no,9.0
RD003372,2024-05-29,11:54:32,manila,DRV0046,RDR02314,economy,10.29,20.02,debit card,completed,2.7,3.2,1.0,no,35.4
RD008830,2024-07-12,09:30:26,bangkok,DRV0573,RDR02659,economy,6.12,11.96,wallet,completed,3.9,4.083542968433012,1.2,no,23.4
RD010350,28/06/2024,19:09,ho chi minh city,DRV0634,RDR03093,economy,4.88,10.57,credit card,completed,4.8,5.0,1.0,no,25.6
RD008798,2024-06-25,16:55,kuala lumpur,DRV0341,RDR02605,bike,14.71,22.66,cash,no-show,3.9,4.8,1.0,no,70.4
RD001594,2024-07-07,17:27:32,singapore,DRV0415,RDR01132,economy,4.4,9.09,wallet,completed,2.7,5.1,1.5,no,24.3
RD014233,2024-10-05,12:33:43,jakarta,DRV0360,RDR01011,economy,3.72,7.56,card,completed,5.2,3.1,1.0,yes,25.7
RD005873,2024-12-14,13:15:35,jakarta,DRV0388,RDR01404,economy,6.88,10.46,card,cancelled,4.3,4.9,1.0,no,34.5
RD009941,02/01/2024,07:34:03,bangkok,DRV0585,RDR01814,economy,4.39,12.75,cash,completed,4.8,4.4,1.0,no,30.4
RD005170,10-Jan-2024,08:38:13,singapore,DRV0579,RDR02388,premium,1.03,4.59,debit card,completed,5.1,5.0,1.0,no,4.9
RD010910,2024-01-20,00:31,ho chi minh city,DRV0675,RDR02119,bike,7.99,15.98,wallet,completed,3.8,3.3,1.0,no,46.2
RD004123,03-08-2024,20:04:49,singapore,DRV0109,RDR03744,economy,5.77,14.53,card,completed,5.3,3.2,1.0,yes,24.8
RD012949,2024-10-15,16:55:59,singapore,DRV0754,RDR03067,economy,3.22,5.98,wallet,cancelled,4.6,1.0,1.5,no,14.0
RD014483,02/11/2024,18:30:19,jakarta,DRV0301,RDR01109,economy,0.03,3.16,cash,completed,4.7,5.0,2.0,yes,1.2
RD000150,2024-05-20,21:17:45,singapore,DRV0680,RDR00820,economy,5.52,10.11,cash,completed,4.2,4.1,1.0,no,28.2
RD011737,2024-07-05,09:27:08,ho chi minh city,DRV0299,RDR04306,premium,8.13,13.39,credit card,completed,2.9,4.2,1.0,no,27.4
RD000388,18/10/2024,13:59:01,kuala lumpur,DRV0798,RDR03588,economy,8.25,15.95,e-wallet,completed,4.2,5.3,2.0,no,29.7
RD003947,20/02/2024,13:22:16,bangkok,DRV0266,RDR04192,economy,6.28,9.06,e-wallet,completed,7.0,4.0,1.0,yes,30.6
RD013403,2024-09-28,09:10:51,manila,DRV0122,RDR00244,economy,7.06,12.92,wallet,completed,5.1,4.9,1.0,yes,41.8
RD001374,22/02/2024,15:10:19,kuala lumpur,DRV0068,RDR03353,economy,4.69,8.72,debit card,completed,4.327260710675685,2.4,1.0,no,17.2
RD002885,2024-01-22,19:37,kuala lumpur,DRV0659,RDR04410,economy,3.26,5.83,e-wallet,completed,4.8,4.0,1.2,no,4.5
RD014043,2024-09-17,21:29:10,kuala lumpur,DRV0482,RDR02312,economy,2.65,5.48,cash,no-show,4.327260710675685,4.7,1.8,no,13.2
RD011361,2024-04-27,07:20:41,jakarta,DRV0378,RDR02101,economy,13.72,19.43,wallet,completed,4.3,4.9,1.0,yes,53.6
RD002992,2024-09-21,18:59:22,ho chi minh city,DRV0599,RDR04668,economy,4.95,10.02,cash,completed,4.0,1.4,1.5,no,28.8
RD011596,2024-01-13,13:06:09,ho chi minh city,DRV0081,RDR03898,economy,3.74,8.45,e-wallet,completed,4.1,4.7,1.5,no,14.6
RD010582,12-Apr-2024,18:31,manila,DRV0088,RDR03262,premium,3.32,7.36,debit card,completed,3.1,2.8,1.2,no,14.2
RD014868,2024-09-19,01:57 PM,bangkok,DRV0774,RDR03087,economy,18.21,35.06,card,completed,5.1,3.9,2.0,yes,66.3
RD014425,2024-10-21,17:34:06,manila,DRV0275,RDR02631,premium,6.0,8.23,wallet,cancelled,4.9,4.9,1.5,no,26.9
RD003025,02-14-2024,21:02,singapore,DRV0189,RDR01595,economy,3.91,9.14,cash,completed,4.6,4.6,1.5,yes,15.1
RD000252,2024-01-25,20:22,manila,DRV0286,RDR01604,premium,2.84,7.57,credit card,completed,5.2,4.0,1.0,no,12.4
RD012147,30-May-2024,11:28:40,jakarta,DRV0387,RDR04807,bike,1.51,7.98,cash,completed,5.0,4.0,1.2,no,4.0
RD011439,02-12-2024,16:47:57,manila,DRV0204,RDR01611,economy,6.64,11.99,e-wallet,cancelled,4.0,5.4,1.8,yes,36.7
RD007093,15-Feb-2024,20:45:27,kuala lumpur,DRV0273,RDR00949,bike,1.43,8.46,wallet,completed,3.7,1.2,1.2,no,4.1
RD000933,12-28-2024,09:28:29,singapore,DRV0030,RDR02848,economy,4.57,9.35,wallet,completed,3.1,4.083542968433012,2.0,no,26.0
RD007218,18-Nov-2024,04:42:34,kuala lumpur,DRV0161,RDR01414,economy,7.39,13.91,debit card,completed,5.3,4.8,1.0,no,35.4
RD003685,2024/07/05,07:04 PM,singapore,DRV0793,RDR03378,economy,5.24,10.02,cash,no-show,5.2,3.6,1.2,no,28.3
RD008369,14/10/2024,17:10:16,ho chi minh city,DRV0257,RDR01906,economy,0.05,4.83,wallet,cancelled,2.7,3.9,1.0,no,1.0
RD011725,2024-01-25,15:03,bangkok,DRV0033,RDR03924,economy,2.06,7.78,card,completed,4.2,4.4,2.0,yes,8.2
RD010505,07-Nov-2024,23:46:38,ho chi minh city,DRV0366,RDR01467,economy,5.42,13.36,credit card,no-show,4.9,3.8,1.8,no,20.7
RD000061,2024/10/27,07:07:31,kuala lumpur,DRV0233,RDR04358,economy,1.56,3.52,cash,completed,5.3,4.083542968433012,1.0,yes,6.4
RD013510,2024-10-09,19:54:30,jakarta,DRV0466,RDR00013,economy,3.99,11.68,e-wallet,cancelled,3.3,3.8,1.0,no,16.2
RD007173,29/12/2024,11:59:14,bangkok,DRV0206,RDR01450,economy,15.87,20.9,cash,cancelled,4.8,4.7,1.0,no,68.0
RD003329,14-Apr-2024,15:26:18,jakarta,DRV0299,RDR00208,economy,1.41,2.82,debit card,completed,3.7,3.8,1.2,no,5.4
RD005024,06-03-2024,10:21:17,jakarta,DRV0010,RDR04664,premium,2.93,7.27,cash,completed,3.8,4.083542968433012,1.2,no,11.3
RD002215,11/10/2024,19:08:31,singapore,DRV0231,RDR02734,premium,13.25,29.12,cash,completed,3.9,4.9,1.2,yes,68.9
RD002217,2024-06-02,12:05:40,kuala lumpur,DRV0532,RDR02584,economy,1.6,2.99,wallet,completed,5.2,4.4,1.0,no,7.9
RD014796,2024-10-10,19:06:05,jakarta,DRV0717,RDR02058,bike,6.88,11.01,cash,cancelled,4.2,4.0,1.0,yes,34.0
RD002860,2024-04-10,06:34:52,jakarta,DRV0613,RDR00741,economy,5.35,10.65,card,completed,4.9,4.9,1.0,yes,34.2
RD004025,2024-08-01,06:41 PM,ho chi minh city,DRV0290,RDR01744,economy,14.42,28.72,cash,completed,4.327260710675685,5.3,1.2,no,83.0
RD002761,2024-08-14,01:45:34,manila,DRV0593,RDR04943,economy,2.75,8.23,cash,completed,4.7,4.0,1.0,no,8.3
RD003291,03-Jun-2024,10:32:56,ho chi minh city,DRV0140,RDR03180,premium,8.89,14.12,card,completed,3.0,4.8,1.0,no,48.7
RD010044,2024-08-24,09:55:38,manila,DRV0517,RDR03862,economy,10.04,18.77,e-wallet,cancelled,4.9,4.7,1.0,no,32.1
RD002627,2024-04-19,18:59:06,manila,DRV0664,RDR00518,premium,2.73,3.54,cash,completed,5.2,3.1,1.2,no,10.2
RD004610,2024-05-29,07:58 PM,singapore,DRV0777,RDR02087,economy,8.1,14.34,e-wallet,completed,5.1,5.4,1.2,no,42.2
RD013284,2024-01-04,12:42:56,ho chi minh city,DRV0566,RDR03246,premium,2.87,8.1,wallet,completed,4.9,4.083542968433012,1.5,no,18.4
RD012473,2024-01-04,09:36,kuala lumpur,DRV0250,RDR04355,economy,4.06,6.87,card,cancelled,3.0,4.3,1.2,no,20.6
RD011740,26/10/2024,16:42:33,singapore,DRV0072,RDR03738,economy,3.68,9.02,credit card,cancelled,0.6,4.0,1.5,no,7.9
RD013940,02/04/2024,21:20,manila,DRV0511,RDR04169,motorbike,6.94,12.84,e-wallet,completed,5.0,1.7,1.2,no,35.3
